path	added	removed	stage	status	evidence
codex-rs/core/src/spine/spawn_tests.rs	348	0	P2-P4	pending	
codex-rs/core/src/spine/tests.rs	359	0	P2-P4	pending	
codex-rs/core/src/spine/tool_response.rs	11	0	P2-P4	pending	
codex-rs/core/src/state/auto_compact_window.rs	21	8	P1-P2	pending	
codex-rs/core/src/state/session.rs	79	8	P1-P2	pending	
codex-rs/core/src/stream_events_utils.rs	1	0	P2-P4	pending	
codex-rs/core/src/tasks/mod.rs	11	0	P2-P4	pending	
codex-rs/core/src/thread_manager.rs	140	5	P2-P4	pending	
codex-rs/core/src/tools/handlers/extension_tools.rs	7	2	P2-P4	pending	
codex-rs/core/src/tools/handlers/mod.rs	2	0	P2-P4	pending	
codex-rs/core/src/tools/handlers/spine.rs	307	0	P2-P4	pending	
codex-rs/core/src/tools/parallel.rs	587	5	P2-P4	pending	
codex-rs/core/src/tools/registry.rs	15	0	P2-P4	pending	
codex-rs/core/src/tools/router.rs	29	3	P2-P4	pending	
codex-rs/core/src/tools/spec_plan.rs	64	13	P2-P4	pending	
codex-rs/core/src/tools/spec_plan_tests.rs	192	0	P2-P4	pending	
codex-rs/core/tests/common/Cargo.toml	1	0	P2-P4	pending	
codex-rs/core/tests/common/lib.rs	42	3	P2-P4	pending	
codex-rs/core/tests/common/test_codex.rs	40	0	P2-P4	pending	
codex-rs/core/tests/suite/compact_resume_fork.rs	420	0	P2-P4	pending	
codex-rs/core/tests/suite/mod.rs	5	0	P2-P4	pending	
codex-rs/core/tests/suite/spine_effectful_retry.rs	383	0	P2-P4	pending	
codex-rs/core/tests/suite/spine_remote_compact.rs	349	0	P2-P4	pending	
codex-rs/core/tests/suite/spine_responses_lite.rs	593	0	P2-P4	pending	
codex-rs/core/tests/suite/spine_spawn.rs	2830	0	P2-P4	pending	
codex-rs/core/tests/suite/test_feature_profile.rs	51	0	P2-P4	pending	
codex-rs/docs/codex_mcp_interface.md	4	4	P6	pending	
codex-rs/docs/releases-0.3.2.md	20	0	P6	pending	
codex-rs/docs/releases-0.3.3.md	14	0	P6	pending	
codex-rs/docs/spinecodex-versioning.md	50	0	P6	pending	
codex-rs/exec-server/README.md	5	5	P6	pending	
codex-rs/exec-server/src/environment_toml.rs	3	3	P6	pending	
codex-rs/exec/Cargo.toml	1	0	P6	pending	
codex-rs/exec/src/cli.rs	1	1	P6	pending	
codex-rs/exec/src/event_processor_with_human_output.rs	19	1	P6	pending	
codex-rs/exec/src/event_processor_with_human_output_tests.rs	24	0	P6	pending	
codex-rs/exec/src/lib_tests.rs	1	0	P6	pending	
codex-rs/execpolicy/README.md	3	3	P6	pending	
codex-rs/external-agent-migration/src/sessions/append.rs	8	2	P6	pending	
codex-rs/features/src/lib.rs	42	0	P6	pending	
codex-rs/features/src/tests.rs	12	0	P6	pending	
codex-rs/feedback/Cargo.toml	3	0	P5	pending	
codex-rs/feedback/src/lib.rs	6	0	P5	pending	
codex-rs/feedback/src/spine_upload.rs	206	0	P5	pending	
codex-rs/feedback/src/spine_upload_tests.rs	152	0	P5	pending	
codex-rs/install-context/src/distribution.rs	67	0	P6	pending	
codex-rs/install-context/src/lib.rs	2	0	P6	pending	
codex-rs/linux-sandbox/README.md	1	1	P6	pending	
codex-rs/login/Cargo.toml	1	0	P6	pending	
codex-rs/login/src/auth/default_client.rs	15	2	P6	pending	
codex-rs/login/src/auth/default_client_tests.rs	15	4	P6	pending	
codex-rs/login/src/device_code_auth.rs	31	6	P6	pending	
codex-rs/login/src/device_code_auth_tests.rs	19	1	P6	pending	
codex-rs/login/src/lib.rs	1	0	P6	pending	
codex-rs/mcp-server/src/codex_tool_runner.rs	2	0	P6	pending	
codex-rs/memories/write/src/phase1.rs	3	1	P6	pending	
codex-rs/model-provider-info/Cargo.toml	1	0	P6	pending	
codex-rs/model-provider-info/src/lib.rs	6	3	P6	pending	
codex-rs/model-provider-info/src/model_provider_info_tests.rs	11	0	P6	pending	
codex-rs/models-manager/Cargo.toml	1	0	P6	pending	
codex-rs/models-manager/src/lib.rs	1	6	P6	pending	
codex-rs/models-manager/src/manager_tests.rs	8	0	P6	pending	
codex-rs/protocol/README.md	1	1	P1-P2	pending	
codex-rs/protocol/src/lib.rs	1	0	P1-P2	pending	
codex-rs/protocol/src/num_format.rs	43	0	P1-P2	pending	
codex-rs/protocol/src/protocol.rs	75	1	P1-P2	pending	
codex-rs/protocol/src/spine_tree.rs	222	0	P1-P2	pending	
codex-rs/responses-api-proxy/README.md	2	2	P6	pending	
codex-rs/rollout-trace/README.md	2	2	P6	pending	
codex-rs/rollout-trace/src/protocol_event.rs	6	2	P6	pending	
codex-rs/rollout/src/list.rs	9	3	P1-P2	pending	
codex-rs/rollout/src/metadata.rs	6	2	P1-P2	pending	
codex-rs/rollout/src/model_context.rs	3	1	P1-P2	pending	
codex-rs/rollout/src/persistence_metrics.rs	2	0	P1-P2	pending	
codex-rs/rollout/src/policy.rs	6	2	P1-P2	pending	
codex-rs/rollout/src/recorder.rs	3	1	P1-P2	pending	
codex-rs/rollout/src/search.rs	3	1	P1-P2	pending	
codex-rs/skills/src/assets/samples/openai-docs/references/mcp-diagnostics.md	1	1	P6	pending	
codex-rs/skills/src/assets/samples/plugin-creator/SKILL.md	3	3	P6	pending	
codex-rs/skills/src/assets/samples/plugin-creator/references/installing-and-updating.md	10	10	P6	pending	
codex-rs/spine-core/BUILD.bazel	12	0	P1	pending	
codex-rs/spine-core/Cargo.toml	23	0	P1	pending	
codex-rs/spine-core/config/spine.toml	73	0	P1	pending	
